编号  物种名	数量	左右	距离m	备注
250	旱獭	2	L	70	
251	藏野驴	15	R	700	
252	藏野驴	12	L	200	
253	藏野驴	2	R	2000	
254	旱獭	5	L	150	
255	旱獭	5	R	5	
256	旱獭	1	L	20	
257	旱獭	1	L	20	
258	藏野驴	1	L	200	
260	旱獭	1	L	50	
261	旱獭	1	R	10	
262	旱獭	1	R	25	
262	旱獭	2	L	100	
263	旱獭	1	R	50	
263	旱獭	1	R	5	
264	旱獭	1	R	10	
265	旱獭	1	R	10	
269	藏野驴	2	R	212	
270	旱獭	1	R	10	
271	藏野驴	8	L	1000	
272	藏原羚	4	R	300	
273	藏原羚	6	L	191	
274	藏野驴	16	L	1000	
274	藏野驴	13	L	1500	
274	藏野驴	7	L	1200	
275	藏野驴	17	L	150	
276	藏野驴	4	L	800	
277	大鵟	1	R	73	
278	猎隼	1	马路上	0	
279	旱獭	3	R	10	
279	旱獭	1	L	5	
280	藏野驴	7	L	700	
281	藏原羚	3	L	0	
282	藏野驴	1	R	300	
283	旱獭	2	L	50	
283	藏原羚	2	L	50	
284	旱獭	1	R	30	
285	寒鸦	2	R	30	
286	寒鸦	2	R	20	
287	旱獭	3	L	70	
288	旱獭	2	L	15	
289	旱獭	1	R	30	
290	藏野驴	3	L	400	
291	旱獭	1	L	10	
292	旱獭	1	L	5	
293	旱獭	2	R	40	
294	旱獭	2	R	100	
294	旱獭	1	R	120	
295	旱獭	4	L	60	
296	旱獭	2	R	50	
297	旱獭	1	L	10	
298	旱獭	1	马路上	0	
299	旱獭	4	L	50	
300	旱獭	2	R	60	
301	旱獭	3	R	15	
302	旱獭	2	L	15	
303	旱獭	1	L	40	
304	藏野驴	1	R	100	
304	藏野驴	1	R	300	
305	藏野驴	1	L	400	
306	藏野驴	3	L	100	
307	藏野驴	3	R	1000	
307	藏野驴	1	R	50	
307	藏原羚	3	L	500	
307	金雕	1	R	150	
308	旱獭	1	L	100	
309	藏野驴	3	L	2000	
309	旱獭	1	R	40	
310	旱獭	2	L	10	
311	旱獭	6	R	50	
311	旱獭	2	L	30	
311	金雕	1	L	30	
312	旱獭	1	L	15	
313	旱獭	1	L	20	
314	藏野驴	1	R	150	
315	旱獭	2	L	20	
316	藏野驴	3	L	30	
317	大鵟	1	L	40	
318	藏野驴	5	R	600	
319	藏野驴	2	R	10	
320	藏野驴	2	R	600	
321	旱獭	1	L	20	
322	藏野驴	5	R	500	
322	藏野驴	1	L	500	
323	旱獭	1	R	30	
323	藏野驴	4	R	150	
324	藏野驴	3	R	500	
325	藏野驴	7	R	300	
325	藏野驴	5	L	100	
326	藏野驴	3	R	400	
327	旱獭	1	L	10	
328	旱獭	2	L	20	
329	旱獭	3	R	30	
330	藏野驴	5	L	200	
331	旱獭	1	L	200	
332	藏野驴	18	L	100	
333	藏野驴	20	L	100	
333	藏野驴	1	R	50	
334	旱獭	5	L	20	
335	藏野驴	12	L	90	
336	藏野驴	80	R	1000	
337	藏野驴	58	R	1000	
338	旱獭	1	L	20	
339	藏野驴	1	L	50	
340	高山兀鹫	1	R	100	
341	旱獭	2	L	5	
342	大鵟	1	L	10	
342	金雕	1	R	10	
343	大鵟	1	马路上空	0	
344	赤麻鸭	2	L	40	
345	旱獭	2	L	40	
347	藏原羚	1	L	250	
348	旱獭	1	L	5	
348	大鵟	1	马路上空	0	
349	高山兀鹫	1	R	2000	
349	旱獭	2	R	100	
350	旱獭	1	R	10	
352	旱獭	1	L	20	
353	旱獭	1	L	10	
354	大鵟	1	马路上空	0	
355	大鵟	1	马路上空	0	
356	旱獭	1	R	60	
357	旱獭	2	L	40	
358	旱獭	1	L	5	
359	大鵟	2	马路上空	0	
360	旱獭	1	R	0	
361	旱獭	1	L	10	
362	高原兔	2	L	15	
363	旱獭	1	L	20	
364	旱獭	1	L	15	
365	旱獭	1	L	20	
366	旱獭	2	L	15	
367	大鵟	1	L	20	
368	高山兀鹫	1	L	0	
369	高山兀鹫	1	L	0	
370	渡鸦	1	R	10	
371	渡鸦	1	R	5	
372	大鵟	1	L	10	
373	狼	1	L	30	
374	旱獭	1	L	20	
374	陆鸭	2	R	20	
375	白唇鹿	1	R	68	
376	猎隼	1	R	5	
377	旱獭	1	R	10	
378	渡鸦	1	L	5	
379	旱獭	3	L	10	
380	旱獭	1	L	12	
381	金雕	1	L	5	
382	旱獭	1	R	50	
383	渡鸦	2	马路上空	0	
385	大鵟	1	马路上空	0	
386	大鵟	1	马路上空	0	
387	金雕	1	马路上	5	
388	猎隼	1	L	5	
389	大鵟	1	R	10	
390	渡鸦	1	L	5	
391	旱獭	1	R	50	
392	旱獭	1	L	15	
393	旱獭	1	L	10	
394	旱獭	1	R	50	
395	旱獭	1	L	10	
396	大鵟	1	L	10	
397	旱獭	1	L	50	
398	大鵟	1	L	5	
398	旱獭	2	R	40	
399	旱獭	1	L	10	
400	旱獭	1	R	40	
401	渡鸦	1	L	5	
402	旱獭	1	R	20	
403	大鵟	1	L	5	
404	大鵟	0	R	0	
405	旱獭	5	R	10	
406	金雕	2	R	10	
407	旱獭	2	R	20	
408	旱獭	1	R	40	
409	猎隼	1	R	0	
410	大鵟	2	L	20	
411	渡鸦	1	L	5	
412	大鵟	1	马路上	0	
413	高原兔	1	L	200	
416	旱獭	1	R	40	
417	旱獭	2	L	10	
421	高山兀鹫	2	马路上空	0	
431	旱獭	1	R	20	
433	藏原羚	2	R	150	
435	大鵟幼鸟	3	R	164	
440	大鵟	2	R	50	
441	猛禽	1	L	150	
444	旱獭	1	R	20	
446	藏原羚	5	L	300	
453	大鵟	1	R	34	
456	大鵟	1	L	40	
457	大鵟	2	L	5	巢穴里的幼鸟
458	大鵟	2	L	35	
459	大鵟	1	R	100	
461	藏野驴	10	L	230	
462	大鵟	1	R	16	
463	藏原羚	2	R	74	
464	大鵟	1	L	100	
465	藏野驴	3	R	300	
466	藏野驴	5	R	300	
468	沙狐	1	过路	0	
469	大鵟	2	L	26	
470	猎隼	1	L	50	
473	旱獭	1	L	50	
473	旱獭	1	R	30	
474	藏原羚	1	R	600	
475	旱獭	1	L	50	
476	旱獭	1	L	60	
477	旱獭	1	L	10	
478	旱獭	1	L	15	
479	旱獭	1	L	15	
480	旱獭	3	L	20	
481	藏原羚	1	L	10	
482	大鵟	1	R	68	
483	大鵟	1	L	20	
484	旱獭	1	L	10	
485	大鵟	1	R	0	
486	旱獭	1	R	70	
487	藏原羚	3	L	107	
487	沙狐	1	L	107	
488	高原兔	2	R	50	
489	旱獭	3	L	10	一只成体，两只幼崽
490	旱獭	1	R	30	
491	藏原羚	3	L	350	
491	大鵟	2	L	250	
491	旱獭	1	R	60	
492	旱獭	3	L	30	
493	大鵟	1	L	60	
494	大鵟	1	R	40	
495	猎隼	1	R	20	
496	大鵟	1	L	10	
498	藏原羚	1	R	50	
500	大鵟	1	R	10	
500	高原兔	1	R	30	
501	大鵟	1	R	30	
502	大鵟	1	R	800	
504	高原兔	1	L	30	
505	沙狐	1	R	10	
506	藏原羚	1	L	150	
507	藏原羚	2	L	100	
508	大鵟	1	L	80	
509	大鵟	2	L	37	
512	藏野驴	1	R	750	
513	藏野驴	1	L	500	
514	藏野驴	1	马路上	0	
515	藏野驴	9	R	300	
515	藏原羚	1	L	200	
516	大鵟	1	R	600	
517	藏原羚	4	R	600	
518	沙狐	1	R	400	
519	藏野驴	1	R	800	
520	大鵟	1	L	50	
521	藏原羚	7	R	200	
522	大鵟	1	L	5	
523	藏野驴	2	L	500	
524	藏野驴	9	R	600	
524	藏野驴	5	R	1000	
524	猎隼	1	R	800	
525	藏原羚	4	R	300	
526	沙狐	1	R	200	
527	藏原羚	3	L	300	
528	藏野驴	2	R	600	
529	猎隼	2	L	70	
530	藏野驴	2	R	1000	
531	藏野驴	1	R	200	
532	大鵟	1	L	5	
533	藏原羚	58	R	500	
534	大鵟	1	L	5	
535	大鵟	1	L	5	
536	大鵟	1	L	30	
537	藏野驴	1	R	50	
538	藏原羚	2	R	100	
539	藏原羚	1	R	200	
540	藏原羚	1	R	400	
541	大鵟	1	L	40	
542	藏原羚	1	R	800	
543	大鵟	1	R	100	
544	藏原羚	13	R	1000	
545	旱獭	2	R	100	
546	高山兀鹫	1	L	800	
546	沙狐	1	R	50	
546	高山兀鹫	1	R	30	
547	高山兀鹫	6	L	10	
547	高山兀鹫	5	R	20	
547	沙狐	1	R	50	
548	旱獭	1	L	40	
549	旱獭	1	R	3	
550	藏原羚	6	R	200	
551	旱獭	1	L	40	
552	藏原羚	6	马路上	0	
552	旱獭	1	L	20	
553	藏野驴	13	R	150	
553	藏原羚	1	L	50	
553	藏羚羊	7	R	200	
554	旱獭	1	L	20	
555	旱獭	1	R	50	
556	旱獭	1	L	15	
557	旱獭	1	L	15	
558	藏原羚	1	R	150	
559	藏野驴	7	R	250	
560	藏原羚	2	R	400	
560	藏原羚	1	L	50	
561	旱獭	1	R	60	
562	藏原羚	1	R	100	
562	旱獭	1	R	50	
563	藏原羚	1	R	600	
563	旱獭	1	L	10	
563	藏原羚	6	R	150	
564	旱獭	1	L	50	
565	藏野驴	11	R	500	
566	旱獭	1	R	20	
567	藏野驴	1	R	200	
568	旱獭	1	L	20	
569	旱獭	1	L	22	
570	藏野驴	1	R	400	
570	藏原羚	2	R	300	
571	藏野驴	1	L	80	
572	藏原羚	13	R	1000	
573	藏原羚	24	R	300	
574	藏野驴	1	L	200	
575	藏原羚	1	L	150	
576	藏原羚	12	马路上	0	
577	藏野驴	28	L	50	
578	藏原羚	1	R	200	
579	藏原羚	5	马路上	0	
580	藏野驴	7	L	80	
582	藏野驴	1	L	70	
583	旱獭	1	R	100	
584	旱獭	1	R	15	
585	旱獭	2	R	2	
586	藏原羚	4	L	80	
587	旱獭	1	L	10	
588	旱獭	1	R	20	
589	旱獭	1	L	10	
590	旱獭	1	L	5	
591	旱獭	1	L	10	
592	旱獭	1	L	15	
593	旱獭	1	L	5	
594	旱獭	1	L	20	
595	藏原羚	2	R	800	
596	旱獭	1	R	10	
597	旱獭	1	R	10	
598	高原兔	1	L	20	
599	大鵟	2	R	180	
600	旱獭	2	L	40	
601	旱獭	1	L	30	
602	旱獭	1	R	50	
602	大鵟	1	L	80	
603	旱獭	1	R	60	
604	大鵟	1	R	50	
604	旱獭	1	L	30	
605	旱獭	2	L	20	
606	旱獭	6	R	100	
607	旱獭	4	R	20	
608	旱獭	3	R	80	
609	旱獭	1	R	10	
610	藏野驴	1	R	200	
612	旱獭	1	L	30	
612	藏野驴	1	R	600	
613	大鵟	1	L	20	
614	沙狐	1	R	4	
616	大鵟（亚成体）	1	R	0	
619	藏原羚	3	L	0	
621	藏原羚	1	L	1000	
622	旱獭	1	L	20	
624	大鵟	1	飞过马路	0	
626	大鵟	1	飞过马路	0	
628	藏原羚	1	L	200	
629	藏原羚	1	R	150	
630	藏原羚	1	R	100	
631	野牦牛	4	R	400	
631	藏野驴	2	L	300	
632	藏野驴	1	R	200	
632	藏野驴	1	L	300	
633	藏野驴	1	L	400	
633	藏原羚	1	L	50	
634	藏原羚	1	L	50	
635	大鵟	1	R	27	
635	藏原羚	1	R	800	
635	藏野驴	4	L	1	
636	旱獭	2	L	30	
637	旱獭	1	L	10	
638	猎隼	1	马路上	0	
639	旱獭	1	L	20	
640	大鵟	1	L	40	
641	大鵟（亚成体）	1	R	200	
642	大鵟	1	L	80	
643	旱獭	1	L	40	
644	旱獭	1	马路上	0	
646	大鵟	1	R	200	
647	旱獭	2	R	10	
647	大鵟	2	R	13	
648	大鵟	1	R	100	
649	旱獭	2	L	40	
650	藏野驴	1	R	300	
652	大鵟	1	R	5	
654	旱獭	4	R	15	
655	旱獭	1	R	30	
656	旱獭	3	R	30	
657	旱獭	1	马路上	0	
658	大鵟	1	L	10	
659	旱獭	2	L	20	
660	旱獭	1	L	30	
661	旱獭	1	L	100	
662	大鵟	1	L	5	
663	旱獭	2	R	10	
664	旱獭	1	R	50	
665	大鵟	1	R	60	
666	旱獭	1	L	10	
667	旱獭	1	R	100	
668	旱獭	1		0	
668	旱獭	1	R	10	
669	旱獭	3	R	10	
669	旱獭	1	L	2	
670	旱獭	1	R	15	
672	旱獭	1	R	30	
674	藏野驴	1	L	100	
675	大鵟	1	R	10	
676	大鵟	1	L	80	
678	沙狐	1	L	40	
679	藏野驴	3	L	250	
680	藏野驴	1	L	100	
681	藏野驴	1	R	600	
682	藏野驴	1	R	200	
683	大鵟	4	R	54	
684	藏原羚	1	L	20	
686	藏野驴	2	R	500	
686	沙狐	1	L	100	
687	旱獭	2	R	10	
688	藏野驴	9	R	100	
689	旱獭	1	R	10	
690	藏野驴	3	L	400	
692	藏野驴	7	R	200	
693	大鵟	1	R	30	
697	藏原羚	1	R	70	
698	藏原羚	1	R	100	
699	藏野驴	3	R	400	
700	藏原羚	3	L	80	
701	藏原羚	6	L	43	
704	藏原羚	1	R	60	
705	藏原羚	1	R	0	
705	藏原羚	1	L	300	
706	大鵟	1	R	47	
707	猎隼	1	R	0	
708	大鵟	2	R	2	
709	金雕	1	R	5	
710	旱獭	1	L	20	
710	旱獭	2	R	60	
710	金雕	1	R	100	
711	藏野驴	5	R	150	
712	旱獭	1	R	80	
713	藏原羚	3	L	200	
714	大鵟	2	R	10	
715	藏原羚	2	R	100	
716	藏野驴	1	R	100	
718	黑颈鹤	2	R	300	
719	藏野驴	1	R	300	
720	旱獭	1	L	80	
721	旱獭	1	L	70	
722	旱獭	1	L	10	
723	藏野驴	8	L	300	
725	旱獭	1	R	50	
728	藏野驴	1	R	500	
729	藏原羚	4	L	100	
730	藏野驴	1	R	200	
731	藏原羚	2	R	200	
732	藏野驴	1	R	200	
734	藏原羚	1	R	20	
735	藏野驴	4	R	20	
739	藏野驴	1	R	1500	
742	藏羚羊	6	L	500	
743	藏羚羊	13	L	400	
744	藏羚羊	5	L	800	
747	狼	1	R	106	
748	藏羚羊	5	R	200	
